User Input,Chatbot Response,Timestamp
hi,Nothing much,2025-03-14 12:26:46
i need help,"Sure, what do you need help with?",2025-03-14 12:27:02
I need help,I'm here to help. What's the problem?,2025-03-14 12:27:08
Hi,"I'm fine, thank you",2025-03-14 12:28:48
Hello,Hi there,2025-03-14 12:28:52
budget,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses.",2025-03-14 12:30:14
good bye,Goodbye,2025-03-14 12:31:11
hi,Hi there,2025-03-14 12:38:21
hi,Hey,2025-03-14 12:39:59
budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2025-03-14 12:41:32
good bye,Take care,2025-03-14 12:42:02
